"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"2",1,"Factor #1",3.335,22,15626,15561,7264.643,14255,16600,16836,15133,20933,27278,26630,24599,1081.012,17401,7980,6606,31802,23977,21224,776.3407,2867.602,81.84063,28101
"3",7,"Factor #7",3.3352,22,15035,15561,21636.08,14255.02,16599.37,16836.11,15132.27,20932.49,27278,26630,24598.36,3516.353,17400.74,8335,6605.955,30955,23977,21224.1,2668.7,8122,243.4944,28100.45
"4",8,"Factor #8",3.3364,22,8920.292,10349.26,21636,10335.24,13934.44,13062.07,10135.73,10968,12170.68,25448.53,14987.28,3757,9237.044,4454.5,4670.172,19066.43,9390.548,21224.1,3166,8334,1038.328,28100.45
"5",13,"Factor #13",3.3627,22,3767.015,4873.159,7987.292,5493,5594.557,6588,4658.897,5845.884,7357.956,18249.85,7514.728,3702.745,5392.659,2434.826,3871.467,20135.58,6414.279,8758.192,507,1880,542.7973,24073.42
"6",5,"Factor #5",3.3675,22,7225.304,3785.696,5120.944,4410.084,5074.867,6587.802,3709.445,5350,8458,25384.28,6541.125,2491.86,4379,1316,2126,31801.75,5437,6769.594,985.7373,7041.42,235.5328,28100.45
"7",12,"Factor #12",3.3798,22,2450,3374,3274.247,3513.564,3190.224,3520.415,2434.542,4681,5686.947,10726.67,5113.981,675.7568,3887.748,752.2762,1055,12947.6,4452,4168.37,436.5484,1325.083,215.2603,12148.38
"10",9,"Factor #9",3.4175,22,4536.855,2783.421,2487,1197,1834,1558.809,2583.396,2449.186,10528.81,4667.733,4279.899,1036.36,984,614.4005,2435.897,6811.477,3864.195,2618,1713.647,3484.025,40.20527,8460.305
"12",3,"Factor #3",3.4505,22,8639,8512.099,9989.165,5939,9264.063,6618,9705.639,11452,13472.62,9138.638,8500,7614.808,8028.706,6783.923,8906,10018,11123.26,11286,4228,7717,5421.445,10700.13
"13",2,"Factor #2",3.4593,22,5304,7710,9989,5135,9264,5382,8962,11452,13472.62,5260,8614,7615,6553,6784,8906,10018,11123,11286.37,3840,7691,5421,5658
"14",4,"Factor #4",3.4645,22,5304.471,5081,6955.339,4120,7092,3819,6725.487,8527.45,9128.959,5260.247,6033,7614.808,5172,5007.11,8000.151,1470.449,5518.544,9051,3150.222,6911.401,5421.445,5494.214
"15",18,"Factor #18",3.4702,22,619,7710.446,5237.512,5134.732,4115.772,4431.477,8962.117,8232.334,11354.4,4915.725,8613.728,5263.085,5171.967,6594.184,8514.105,1341.405,5518.544,9050.887,3840,852,5421,5567.693
"16",6,"Factor #6",3.4705,22,1721,5326,9213,4291.645,7092.418,4431.477,8962.117,2915,11354.4,5260,8499.815,7614.808,1785,6783.923,8514.105,1341.405,10185,8485,3260,7330,5421,5494.214
"17",14,"Factor #14",3.4727,22,4857.437,4842.075,4440.411,4120,4395.707,4359,4285.515,5240.239,5163.743,5120.885,1374,6061.149,4568.131,2275,2782,1470.449,6546.302,5503.551,575,5314.423,4095.773,5494.214
"18",24,"Factor #24",3.4986,22,2341.36,2942,3426.709,2688,2837,2482,2428,2971.63,3958.249,1235.692,2434.386,1430.562,265.6402,1515.043,1867.91,655.7439,2707.638,3323.414,37431.74,1611.905,708.2174,1360.833
"20",16,"Factor #16",3.5184,22,1207.541,2512.305,2956.072,722,1772.016,520,968.6958,647,3304.055,4250.163,3053.335,1016.746,917,1249.341,3150.265,1351.632,3767.068,3147.313,666.5854,894.3237,477.4419,5187.626
"21",25,"Factor #25",3.53,22,2139.366,3342.639,3120,2941.471,3006.075,3057,2902.174,170.209,243.4925,1231.196,236.0071,570.3456,337.3763,1941,199.1366,502.6204,283.4361,45.75502,53602,137.2744,750.0435,781.4264
"22",23,"Factor #23",3.5309,22,1997.799,3343,3427,2930,3006,3091,2902,148.2192,217.7457,492.3588,127.6372,237.4827,246.6575,2160,103.7622,375.5266,136.9933,35.73751,53602,95.12238,750.0435,416.1791
"23",11,"Factor #11",3.5364,22,2906.434,671,2016.496,737,1772.016,2084.224,1926.17,2086.597,2454.797,1659,857,1378.654,2519.527,217.1027,2296.4,1060.615,671,3147.313,564.3856,1235.175,1518.752,4565.301
"25",15,"Factor #15",3.5573,22,633.5274,600,1462.448,941.3135,508,1112.136,1273.455,809.2076,1643.788,1810,1512.987,1165.785,1593.199,256.5451,1005.454,5601.352,528,591,306.8268,964.9574,384.5255,4321.953
"33",40,"Factor #40",3.6732,22,4857.141,2126,2535,2492,2281,2641,3699,5346.242,7262.694,7245.514,5064.32,2094.095,4590.298,50800,2607.056,7730.36,4047.404,6284.017,1766.362,2171.446,22.14547,8685.556
"34",34,"Factor #34",3.6893,22,11537,8885,7100,8708,10402,10375,11469,14102,19347,16933,12235,8948.31,11881,4852.339,6677,20254,11085,16116,5421,7576,5011.306,22521
"36",41,"Factor #41",3.7166,22,7901.954,7974.443,6501.189,4451.733,10017.37,18724,13055,8000.897,6523.921,8232.658,7763.154,13185,4994.932,7403,10720,9893.66,15483,10186.14,5953.087,20224,15949,17563.32
"37",42,"Factor #42",3.717,22,7901.954,8386.745,7714.671,7528.017,10017,18580,8713,9419.543,9285.777,11469.46,9628,13184.99,7187.21,6900,10719.54,9893.66,15483.35,11563.67,5953,20223.61,15948.7,17160.42
"38",35,"Factor #35",3.7395,22,12288,12559,12668,11518,10302,10605,7269,14597,15295,20739,14189,11556.91,13556,6214,13274,8179.008,15891,15647.26,6557,10809,9104,22789
"39",33,"Factor #33",3.7416,22,12288,12559,12668,11587,10351,10605,9973,14597,15295,20739,14189,11557,13556,6214,13274,8718.42,15891,15647,6557,10809,9104,22153
"41",36,"Factor #36",3.757,22,12288.18,12558.84,12667.68,11518,10302.15,1550,9771.252,14597.2,2074,20738.73,14188.82,11556.91,13523.87,6213.645,13273.66,581.9859,2760,15576.62,6540,10809,1930,2.008038e-07
"45",45,"Factor #45",3.877,22,4750.3,1582,8504.998,12812.66,9236.423,11798.97,11359.93,1023,18197.25,1522,10111.79,1130.802,12157.73,3212.522,3223.424,31692.59,6857.258,12499.76,1066.392,832,56.11869,36654.77
"48",43,"Factor #43",3.9059,22,11679,12437,12718,12813,11471,12432,11832.15,16509,23197,33448,12784,1535,13156,4471,4080,31693,10535,18147,3051,4513,99.0436,36654.77
"49",49,"Factor #49",3.9286,22,5320,14032.35,13909.33,13236.01,13176.04,16134.27,15237.98,9572,11774,18188,9677,858,7252,2637,2674,16444,10067,8318,1176.594,2587.218,248.9437,17654
"50",50,"Factor #50",3.9316,22,3749,19105.24,18752.2,18520.7,18373.85,21707.54,21332.33,9572,11774,18188.28,9244,858.1062,1785,2636.504,2673.663,16443.81,10066.53,7945,1177.866,1939,442.3251,17667.7
"53",53,"Factor #53",3.9536,22,551.4046,112294,118902,110864,112011,133628,130671,722.3096,1165.257,575.2171,955.2636,627.2757,488.6758,1435,1350.594,432.7418,556.455,1004.961,2451,2005,1455,1157.386
"54",55,"Factor #55",3.967,22,2331.517,4763.23,4877.537,6603.707,6062.923,7755.247,6392.654,1807,1602.777,814,2623.48,1162,943,2392.221,1704.757,1571.675,1491,1826.61,1368.087,1945.233,1454.565,1685
"57",52,"Factor #52",3.9764,22,2362,2622.192,2372.314,2530.569,2457.974,2604.348,2696.502,2672,2886,2851,2696,2106,2512,2392.221,2130.409,2381.368,2453,2489,1412.261,2199,2050,3151
"58",60,"Factor #60",3.9836,22,660.1167,9816,1084,23908.75,5291.084,16341.39,5553.259,1674.563,2904.386,1054,1164.416,517.1962,237.68,1239.048,1367.091,1704.913,402.1484,613.2202,1481,2004.747,1454.565,502.9599
"60",54,"Factor #54",3.9852,22,1577,2043.327,1649,1875.155,2051.358,2252.079,2039.894,2486,2481.273,1536,1549,2105.787,2108.211,2392,2028,2661,1756,2324,980.6141,1496,1825.89,2887
"61",58,"Factor #58",3.9916,22,1576.861,1457,1649.156,1237,1580.818,1234.286,2040,1631.101,1983.024,1535.923,1549.227,1083.166,1514.122,2042.923,2027.562,1810.29,1093.224,2324.131,1196.475,1496.23,1407.133,994
"62",62,"Factor #62",3.9955,22,850,1153,1491,1236.709,1343,1451,1329,1823.088,2049.811,781,878,748,912,1578.765,1741,4415,746,1799,1706,890,751,699.0949
"70",71,"Factor #71",4.1459,22,1484.144,1877,1750,1737,1877,1867.543,1939,2600.407,3398.633,2464,2440.395,231.1121,1700.716,1043.765,832,6228.341,1575,2230.976,386.3614,729.5385,44.57965,4795.439
"71",84,"Factor #84",4.1482,22,561.9025,1491,1348.912,944.3957,871.8722,3784,1521.913,1567.88,1483.616,712.9378,1004.305,57.81019,656.5047,617.3267,192.2379,2892,434.0298,874.6986,3052,600.4535,614.2962,2416.493
"72",70,"Factor #70",4.1493,22,1868,1674.881,1258.31,1448.658,1505.895,1674.553,1745.84,3319,4063,3606,2988,181.8947,2163,1303.312,713.9578,9278.264,1303.112,2906,581.0358,821.3543,84.58293,6954
"73",74,"Factor #74",4.1498,22,1394.515,1807,1455.26,1661,1365,3120,1858.178,2594.742,3333.421,2463.91,2185.16,231.1121,1498.465,1069.097,742.2961,5182.169,1523.055,2062.486,1132.75,729.5385,225.6502,3283.71
"74",72,"Factor #72",4.1502,22,1824,1441.303,915.145,1073.779,1360.22,1476.869,1631.706,3319,4063,3606.211,2988,181.8947,1911,1265.991,673.9386,8741.97,1199.443,2906,902.6577,821,158.8824,2236
"75",76,"Factor #76",4.1516,22,1729,1219.891,886.0597,1032.799,1036.733,1248.361,1280.973,3318.681,4063.349,3470.114,2988,181.8947,1806,1140.105,546.452,8741.97,878.1322,2401,546.9842,821.3543,106.5147,8319.811
"76",79,"Factor #79",4.1536,22,1344.401,1434.609,1463,1203,1622,1303,1584.736,2352.86,3074.872,3953.758,1905.201,231.1121,1456.007,996.3667,742.2961,6699.079,1355.905,1604.588,312.6082,704.977,47.96785,4366.189
"77",80,"Factor #80",4.1557,22,1698,1583.396,1196.51,1368.112,1414.115,1637.17,1653.687,2925.507,3666.61,3865.09,2417,181.8947,1966.185,1290.284,687.2789,9330.837,1219.306,2868,712.2714,632,124.4572,8319.811
"79",73,"Factor #73",4.1648,22,1356.459,1435,1455.26,1333,1495,1601.941,1487,2353.925,3143.804,3669.512,1909.224,231.1121,1470.1,1195.274,803.1887,5694.243,1463,1826.079,633.6397,729.5385,47.49465,4952.768
"80",77,"Factor #77",4.1814,22,1333.712,5476.809,1055,1387,5992,5629.71,13506.41,2365.564,3239.232,3828.873,3732.869,231.1121,1467.769,712,773.198,7332.269,1543,2303.439,383.9388,1004.8,106.0218,5138.259
"82",75,"Factor #75",4.1975,22,1974.556,9560.087,5967.652,6955.174,12034.26,15263.17,14868.04,7346,5248.683,7382.96,5878,816.6235,3909.243,2294.368,1232.696,11956,3325.092,3462.635,2004.388,624,216.8442,7485.094
"83",69,"Factor #69",4.2157,22,8719,4368,13861.87,12930,15216,17889,17773,9661.211,15526,8921.916,11143.1,542,6873.021,5028,1378,23529.2,4251,7325.81,786,3295.574,133.6957,10934.92
"84",68,"Factor #68",4.2168,22,8719,11522,13862,12930,15216,17889,17773,9661,15526,8922,11143,817,6873,5177,1412,23529,4572,7326,2399,3295,132.7391,10935
"85",85,"Factor #85",4.2695,22,6599.376,3237,2437.043,940,22528.43,3253,2371.692,48138.75,2184.537,3452.83,42568.33,3696.299,23967.75,17658.36,12320.64,5799.649,1040,2447.377,3693.957,13496.54,157.2463,3129.676
"86",88,"Factor #88",4.3016,22,48398,48978.17,46101.52,40593,48886.17,49294.87,47958.13,82448.46,2806,104393,75550.75,8137,44725.27,29551,24011,131117.5,53787,72018.39,3429,3397,267.109,142826.1
"87",87,"Factor #87",4.302,22,48398,48978,46102,40593,48886,49295,47958,82449,98750,104393,75551,8137,44725,29551,24011,1801,53787,72018,11818,24014,249.6522,142826
"88",89,"Factor #89",4.3041,22,48397.81,48978,46101.52,40592.91,48886.17,49294.87,47958,82448.46,98750,104393,75550.75,8137.424,44725.27,29550.17,3532,131118,53787.38,72018,11817.83,24014.05,249.6522,808
"89",86,"Factor #86",4.3123,22,20177.5,37798.49,1881,5454.688,22553.73,7255.808,31684.91,6560.873,55819.89,1271,8851.388,5166.276,19229.17,13684.68,12340.18,36056.5,1650,5905,7708,13519.38,163.0996,752
"90",90,"Factor #90",4.377,22,3883.736,1063,1904.189,1050,998,1200,645,1367.492,158.582,27.20171,132.1897,25.67026,842.3063,29744.49,907.7738,72.74391,31.55792,4058.072,270.511,1150.209,105.0024,115.4565
"92",91,"Factor #91",4.4009,22,1506.62,1461,2281,2217.565,1293,2664,1403,1113.086,1473.26,263.9204,1203.928,108.7351,1075.248,65419.22,284.922,1616.372,750.6332,997.0469,334.3056,625.474,143.7605,925.4675
"93",95,"Factor #95",4.4011,22,795,114.8019,531.8261,551.7826,262.9565,501.4348,417.1739,1520,1627,760,1217,220.7398,1064,15130.59,425.635,2789,325.4871,986,75.13859,494.6025,18.43268,1485
"94",97,"Factor #97",4.4011,22,1072.067,98.09285,1748.515,551.7826,262.9565,501.4348,417.1739,1340.63,1424,936,1089,219.628,556,15130.59,422.2855,1545,252.0875,1583.741,73.65217,491.6958,18.06885,942
"96",100,"Factor #100",4.4318,22,4145,4039,3671,3370,3915,3763,3781,5045,7866,9297.032,5348,576,5046,18704.7,1483,16078.09,5751,5018,496.5217,2086,114.6986,13470.31
"97",101,"Factor #101",4.4327,22,4145,4038.51,2463,3370,3914.615,2286,3780.627,5044.381,7865.79,11500.3,5348,576.526,5046.308,14799.17,1483.227,17587.02,5750.668,5018,496.5217,985,106.8457,16140.89
"98",103,"Factor #103",4.443,22,3004.186,3106.918,1984.452,1123,1812,1825.042,1448,3790.028,2843.824,3902.06,3381.221,512.6467,3686.041,2254.04,512,6906.571,2398.748,1833.918,358.2384,1810.125,79.9577,7581.241
"100",93,"Factor #93",4.5136,22,35000,41679,22818,19560,40148,24301,39771,59400,56581,36296,55191,6425,23141,23164,18823,90434,41797,38198,10385,18346,236.9565,93690
"101",96,"Factor #96",4.5143,22,778,41678.63,20952.88,11386,40147.83,24301,4457,31549,56580.67,47677,55191.03,6424.628,13663,1973,3251,90434.16,39932.95,38197.87,10122.9,16815.87,236.9565,3177
"102",94,"Factor #94",4.5198,22,35000,41678.63,12795,19560,3903,24301,9588,59400,56581,47677,55191,3918,23141,23164,18823,921,41796.78,38198,10384.9,18346,236.9565,731
"106",105,"Factor #105",4.5989,22,1101,1152.739,1062,1008,1238,1165,1126.13,1838,3087,3347.435,2069,247.1379,1556,562.2748,646.457,5560.541,1736,1240,1133.839,653.8565,295.1468,5496.392
"107",110,"Factor #110",4.6009,22,1228.639,1152.739,938,1008.327,1238.217,1043,1126.13,1837.268,3087,3347.435,2068.951,205.2436,1086,549.9995,513.5217,5560.541,1840.696,1618,689.7602,599.7367,161.4739,4145.813
"108",112,"Factor #112",4.617,22,622,1149.304,1061.609,1428.415,1029.087,711.6421,1033.473,1837.268,2108.08,3347.435,916,190.0249,996,942.2783,318.8988,5695,612,2397.532,1072.968,1636.001,2038.982,6714.761
"111",107,"Factor #107",4.6316,22,1241.552,1787,1408,2352,1930,1604.883,1521,3813.944,5608.755,4468.729,3126.021,141.6396,948.9313,2987.74,493.4855,9228.658,301.6184,3540.491,5318.229,3253.403,3356.189,10861.42
"112",111,"Factor #111",4.6323,22,1141,1787.403,5829.646,3454.929,1930.002,5792.805,4772.915,3813.944,3415.842,4468.729,2787,122.1447,997,1759.36,493.4855,5989.136,483.3093,3795,801.3292,2569,1216.97,7751.25
"113",104,"Factor #104",4.6475,22,1241.552,5805,6806.081,5023,3836,9007.37,7568,3137,5609,4967,3405,131.9671,1209.41,3009,493.4855,11507,282.4036,4273,24.92337,3254,3504,11063
"115",106,"Factor #106",4.6605,22,1241.552,5805,7178,5022.972,2398,11510.28,756,5264,5608.755,1477,3405.021,156.4222,1209.41,1229,493.4855,11507,277.3955,4273.143,544.4348,560,1026,11062.9
"118",120,"Factor #120",4.7275,22,564,1883.453,1296.227,1100.213,1292,2896.627,1222,1498,1494.667,1926.092,1880,2056,1710.204,626.5652,2904.827,1724.526,2903.649,1307,1141.86,2271,1512.884,2883.108
"119",119,"Factor #119",4.7361,22,1808,2135,1296,1202,1456,2307.841,1331.587,2677,1763,2173,2471,2999,1710,626.5652,3165,342.3012,3697,1989,1036.453,2271,1839,3000
"120",121,"Factor #121",4.7366,22,2186,2134.931,1323.792,1201.604,1455.813,1644.019,1231,2677.03,1763.058,1926,1608,2999.371,1710.204,626.5652,3164.784,321.9563,1456,1989.282,914.281,2270.74,1838.71,2723.282
"127",128,"Factor #128",4.9702,22,1178,2071.971,2756.541,2284.302,2440.848,2808,3343.437,2152.021,2510.048,2207.144,2210.652,1010,1514.041,2468.478,2440,5654,1358,3452.324,1181,2315,1303,1807.595
"128",127,"Factor #127",4.9709,22,904,3353.812,4050.067,3862.577,1824,4883,4592,3017,4003,4206.964,2528,191.3011,1823,2910.181,706.2609,8097,456.087,1814,1739,1158,799,7101
"129",126,"Factor #126",4.9723,22,488.2954,3354,3941,3863,3779,2505.46,3375,3017,3685,4065,2211,617.9295,945.2059,2910,1413.375,2121.508,760.3627,4297,703.4363,970.8767,742.357,3371
"131",129,"Factor #129",4.9805,22,953.6957,3184.029,3378,3862.577,3537.01,4883,4527.818,3066.858,669,1301,2719.509,190.7633,1605,2864.224,2.258076e-08,6321.961,232.5633,4297.311,1277,142.7826,41.82765,7101
"133",135,"Factor #135",5.0186,22,1002,648,1268.139,2093.9,2810.511,2500.956,1534.042,910,1037.005,2652.689,875,1321,1183,370.0566,1542.742,1316.067,1186,1354.52,268.9102,1196,765,2035.303
"134",133,"Factor #133",5.0268,22,851,1039,1844.574,1427,843,6722.043,771,1264,2266.417,15579.34,1166,1470,1075,1650.774,1583,3065.502,1697,1252,231.9767,1228,832,17539.28
"136",134,"Factor #134",5.035,22,886,1088,9506.444,798,864,10451.83,761,1199,1037,1641,1127,1138,13674,6799.035,1583,4192.937,1571,1116,231.9767,1175,856,26080.37
"137",137,"Factor #137",5.0686,22,986,16950.47,5837.398,6008.122,11181.72,4087.834,1141,1253,9257.289,11645.6,1145,5275.532,9933.084,7071.717,1222,3665.495,26868.76,16582.94,3185.79,1060,673,11783.37
"138",138,"Factor #138",5.0789,22,962,15116.42,1666.126,1101,3068,1410,954,9812.362,8417.502,8388.84,15860.95,4710.978,3641.304,6167.925,12553.91,3419.463,6983.432,2614.4,9528.99,19276.74,4715.726,6813.894
"139",136,"Factor #136",5.0884,22,26322.34,20071.46,13238.31,10564.94,17206.12,10451.83,16301.52,24412.47,15336.53,14861,21523.97,20864,13674.22,8301,26486,4192.937,29196,17423.31,12733,23521.38,836,26080.37
"141",132,"Factor #132",5.0902,22,26322,20071.46,13238,10565,17206,10452,17353.97,24412,15337,15579,21524,20864,13674,8657,26486,4192.937,29196,17423,12733,23521,21223,26080
"142",141,"Factor #141",5.11,22,4126.313,20469,30742.68,28575.35,18150,33393,24329,3768.435,2561.375,9794.46,3324.998,3452.503,2132.479,5063.199,4134.611,18791.92,4457.219,8660.151,1336.223,3762.808,3679.707,19208.42
"143",167,"Factor #167",5.1482,22,76315.09,62399.17,44436.95,38753.57,71479.32,45443,73429.14,99842.05,76825.21,69603.71,80045.65,7464.61,37706,38804.23,28221.14,139272.6,48566,64984.73,18515,32280.68,1694.355,149143.1
"144",146,"Factor #146",5.1491,22,76315,62399,44436.95,38754,71480,45443,73430,99842,75914,69604,80046,7453,38100,38806,28221,139273,48566,64985,18514.7,32281,913.4321,149143
"147",151,"Factor #151",5.1782,22,76315,62399.17,33299,31324,71479.32,36657,73429.14,99842.05,57077,69944,80045.65,7469.479,28851,38806,28221,139272.6,48565.53,51755,15902.83,32281,6155.69,149143.1
"148",182,"Factor #182",5.1798,22,13156,16809,7246.121,6707,11424,7271,11971,13800,13214,14031.72,15623.3,1879.41,6329,8324.07,6549.547,23036,8772,10873,4149,5514,118.0744,25297
"149",159,"Factor #159",5.1907,22,76315.09,62399.17,12650,31324,71479.32,35065,73429.14,99842.05,76825.21,69943.87,30991.92,7453.044,28850.96,13587,28221.14,131682.6,21222.04,64984.73,7831,32280.68,4811.635,1588.363
"154",148,"Factor #148",5.225,22,18199,12862,13663.02,12677.27,11788,13199.9,10525,15981,17015.49,22004.21,14465,13026,11972.92,5290,17513,1.609615e-06,19599,20089.92,6380,15947,14836,19295
"156",156,"Factor #156",5.2325,22,18200.01,12862,21220.87,3929,11788,23520.61,10569.83,15684.49,32352.27,42862.6,14266.9,13026,15562.08,6196.965,17513.9,3.974301e-09,19599.79,6458,6380,15947,14836,19294.63
"158",153,"Factor #153",5.2459,22,12213,6139.199,4601,23073.18,10011.8,4659,9259.605,13170.01,7168,9356,19391.98,6976.447,4118,8011.12,0.4891479,13.32016,5569.566,39263.01,4993.257,11527.15,7251.909,19709.54
"159",161,"Factor #161",5.2591,22,8211.225,2986,3971.523,4079.274,3835.153,3993,3521.523,4894,5088.132,5276.749,3705,5947.226,3322.079,1451,6706.934,4191.5,4952,5855,6075.343,10197.18,13835.19,2205.32
"160",157,"Factor #157",5.2598,22,7827.669,2986.378,3117,2854,3316.956,3571,3264.581,5550.361,5879.187,5335.774,3704.987,4357.296,3322.079,1754.49,4676.021,6700.988,3308.226,4993,2619.016,2884.239,111.5396,13900.46
"161",150,"Factor #150",5.2716,22,2684,2986,3153.582,2854.289,3317,3271.728,3405,4281,5088.132,5812,1516,588.1071,2748.128,1546.62,1472.737,7659,2356,3627.189,834.8265,1652,58.60666,6778
"162",172,"Factor #172",5.2727,22,3504.531,2523.422,2311.335,2854.289,3316.956,2820.001,1587,4495.251,4565.045,5757.159,3320.661,2239.069,2691.954,1536.918,810,5869.064,3165,3619.604,1887.935,610,82.36767,1165.238
"163",160,"Factor #160",5.277,22,2695.47,734,3153.582,2854.289,3317,3267.59,986,4276.646,5088.132,5812,3186.392,521.044,2748.128,1542.924,1456.699,7659,953,3620.587,811.6041,849,58.09991,5113.781
"164",155,"Factor #155",5.287,22,2456.554,1968.099,3117.19,1118,1668,1515,2250,2998.385,1440,5616.5,3146.487,526.8054,2748.128,688,1260.154,7659.171,2890.915,1373,789.4227,1452.693,60.07123,3192.14
"171",147,"Factor #147",5.4134,22,34342,18894,16420.1,11416,21618.62,13464,2763,38336.46,39275.61,31595,19864.96,3157.153,9671,13893,11712,47895.33,16807,23241,2571,11841,175.977,55641
"172",144,"Factor #144",5.4139,22,34342,18894,16420,12529,21619,13464,21731,38336,39276,31595,19865,3157,10853,13893,11712,47895,16807,23241,10220,11841,176.3269,55641
"173",152,"Factor #152",5.4268,22,34342.37,18894.08,16420.1,10116,21618.62,11038,21730.42,38336.46,39275.61,21628,19864.96,3157.153,10853.36,13891.74,11711.65,20264,15289,13325,10219.3,11841.16,176.6657,55641.13
"175",164,"Factor #164",5.475,22,13593.62,2671,6883.061,9026.496,2333,4862,12546.59,14910.94,15138.45,40489.95,2822,1477.206,16652.03,5718.519,4801.774,48548.84,20239.04,6918.299,3778.25,5738.545,126.2766,3031
"176",187,"Factor #187",5.4818,22,1176.542,841.4676,1586,1479.148,111.083,1065.143,1126.387,2718.191,2639,2273.324,1486.661,897,1563.866,669.6575,853.2219,2114.897,902.7863,1709,1683.583,865.7751,518.2378,1050.44
"181",145,"Factor #145",5.5684,22,89887,76558,59485,52784.46,77954.28,59956.38,79642,102968,99037,129812,88670.51,8026,50366.54,39416,32518,202661.2,69119,86060,1905,34654,454.2304,216743
"182",143,"Factor #143",5.5702,22,89887,76558,59485,52785,77954,59957,79642,102968,99037,129812,88670,8026,50366,39416,32518,202661,69119,86060,25080,34654,449.913,216743
"183",162,"Factor #162",5.5761,22,89887.21,76557.55,59485,52784.46,77954.28,59956.38,79641.85,102967.6,99036.91,54602,88670.51,8026,50366.54,39415.13,32518.17,202661.2,69119.47,27214,25078.96,34653.57,449.913,216743
"184",149,"Factor #149",5.6811,22,2091,1185,18722,17929,949,19308,1134,65009.35,29057,2999,2392,149.8535,17033,749,1748,63445.54,3452,27214,943,1086,22.15428,72557.57
"185",165,"Factor #165",5.6868,22,892,6045.288,844,4149.68,6260.096,515,4068,2106.527,1532.628,2425.91,1019,1026.55,2242.927,6415.621,1592.157,1725.78,1970,2008.477,4171.973,2103.314,22.20779,1267.564
"186",171,"Factor #171",5.6868,22,2090.773,6045.288,4499.095,4149.68,3416.023,5926.987,4367.968,2106.527,1940,661,8391.817,176.0139,2242.927,5390.473,730,2328.224,866,2008.477,756.6858,1470.27,25.66318,2524.89
"187",158,"Factor #158",5.6895,22,583,6045.288,18946,8233.419,5991.979,808,640,1077,790,2999,3243.247,168.5167,5131.976,6415.621,517,2328,1726,2008,1127.903,586,24.04931,3462.053
"190",190,"Factor #190",5.8007,22,353.864,275.0058,330,271.9565,159.1739,252.0435,359.2174,411.4967,749,992,334.4182,56.89982,413.5251,102.9465,111.2444,897,317.2609,411.7124,77.94434,85.34783,76.74551,797
"191",193,"Factor #193",5.828,22,667.2174,1011.913,1658.261,1598.87,1391.174,1772.174,1501.435,1145.641,1940.013,2200.435,651,1758.506,1604.348,1956.498,1497.435,1693.834,1032,2058.913,935.2174,1243,1009.391,1877
"192",191,"Factor #191",5.8293,22,747,1012,1832,1599,1391,1768,1460,1145,2125,2200.435,2206,1758,1604,1905.777,1503,2202.307,1647,2059,935,1462,1009,1877.043
"194",196,"Factor #196",5.8695,22,694,655.7826,1270,1078.718,396.6614,1497.348,2337.358,646,1731,1740.374,461.0446,206.7002,1083,811.0428,331.3478,1697,628.9699,1994,2349.957,1792.337,723.9129,13132.32
"195",202,"Factor #202",5.8791,22,25.31783,795,868,1053,908,1632,1036.215,559.4221,66.73195,32.15738,271.8209,51.43015,54.22542,23708,151.7092,165.3929,28.21456,192.5272,60.86794,51.55185,31.92428,175.3808
"196",201,"Factor #201",5.8798,22,19.14566,800,1157,867,907.8448,1632,1036,95.22301,45.64758,20.49476,67.23295,50.6038,49.27603,23708,30.21208,85.17908,29.03362,19.24111,49.64743,46.77864,26.49039,181.1889
"197",198,"Factor #198",5.9414,22,118.3736,2099,2040.046,4812.8,928,3461.82,595,2155.335,5887.75,2115.589,3674.02,1043.957,4062.781,2069.92,4506.93,2571.419,504.8753,568,42029,6928.331,1910.093,2557.1
"198",194,"Factor #194",5.9418,22,893.933,4998,8770,7540,6169,10165,7415,3387,7232,8391,5120,1044,14995,2285.34,4616,3075.537,797.9584,6055,42029,6927,3001,20537
"199",195,"Factor #195",5.9552,22,4451,4902,5899.332,5363.519,4574,6477,4402,5485,10154,10426,5269.304,1194.478,6984.861,5573,2863,8024,3035,10513,6576.024,2684,1321.481,13133
"200",199,"Factor #199",5.9552,22,4451,4902.019,5899,6134.013,4574,6834.012,4401.61,5485.227,9482.651,10293.52,5269.304,1194.478,6360,5572.266,2863.799,8023.503,3035.391,10512.96,6978.45,2773.515,1214,13132.32
"204",204,"Factor #204",6.0289,22,3207,20378.59,3698,17668.25,20945.24,3742,22238.07,4658,6164,40830.9,2858,640,16822.06,1830,1668,57238.5,17114.23,4549,1195.822,1734,140.6071,43753.66
"205",209,"Factor #209",6.0373,22,3207,18024.59,15591.09,16131.55,20536.24,20404.16,20444.24,2297,6164,37639.21,19510.73,1349,16822.06,1821,1704,46018.93,17114.23,17669,1190.895,1728,131.4115,33392.09
"206",207,"Factor #207",6.0448,22,18174.73,3385,8857.921,5662,3790,4841.261,2955,26221.79,5994.063,687.2517,20960.12,1722.419,3366.829,10917.66,8892.331,46018.93,14034.58,4549.415,2817.281,8033.923,553.9497,33392.09
